RunNumber,BeamEnergy,Threshold,GearGeoFile
000313,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000299,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000301,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000303,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000305,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000307,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000309,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000311,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000316,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000319,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000321,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000323,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000325,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000328,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000330,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000332,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000334,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000336,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000338,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000340,4.8,6,alignedGear-iter6-AddPol-run000344.xml
000344,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000346,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000348,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000350,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000352,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000354,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000356,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000357,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000359,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000361,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000363,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000366,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000368,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000371,4.8,6,alignedGear-iter7-AddPoly-run000344.xml
000374,4.8,6,alignedGear-iter7-AddPoly-run000376.xml
000375,4.8,6,alignedGear-iter7-AddPoly-run000376.xml
000376,4.8,6,alignedGear-iter7-AddPoly-run000376.xml
000377,4.8,6,alignedGear-iter7-AddPoly-run000376.xml
000378,4.8,6,alignedGear-iter7-AddPoly-run000376.xml
000618,4.8,6,alignedGear-iter8-AddPoly-run000619.xml
000619,4.8,6,alignedGear-iter8-AddPoly-run000619.xml
000620,4.8,6,alignedGear-iter8-AddPoly-run000619.xml
000621,4.8,6,alignedGear-iter8-AddPoly-run000619.xml
000622,4.8,6,alignedGear-iter8-AddPoly-run000619.xml
000627,4.8,6,alignedGear-iter8-AddPoly-run000619.xml
000628,4.8,6,alignedGear-iter8-AddPoly-run000619.xml
000629,4.8,6,alignedGear-iter8-AddPoly-run000619.xml
000633,4.8,6,alignedGear-iter7-AddPoly-run000636.xml
000634,4.8,6,alignedGear-iter7-AddPoly-run000636.xml
000635,4.8,6,alignedGear-iter7-AddPoly-run000636.xml
000636,4.8,6,alignedGear-iter7-AddPoly-run000636.xml
000637,4.8,6,alignedGear-iter7-AddPoly-run000636.xml
000638,4.8,6,alignedGear-iter7-AddPoly-run000636.xml
000639,4.8,6,alignedGear-iter7-AddPoly-run000636.xml
000640,4.8,6,alignedGear-iter7-AddPoly-run000636.xml





